stop_id,name,routes
A02,Inwood-207 St,A
220,Jackson Av,2 5
G14,Jackson Hts-Roosevelt Av,E F M R
G05,Jamaica Center-Parsons/Archer,E J Z
F01,Jamaica-179 St,F
G07,Jamaica-Van Wyck,E
A41,Jay St-MetroTech,A C F
R29,Jay St-MetroTech,R
S24,Jefferson Av,SIR
L15,Jefferson St,L
707,Junction Blvd,7
254,Junius St,3
F06,Kew Gardens-Union Tpke,E F
D35,Kings Hwy,B Q
F35,Kings Hwy,F
N08,Kings Hwy,N
406,Kingsbridge Rd,4
D04,Kingsbridge Rd,B D
249,Kingston Av,3
A47,Kingston-Throop Avs,C
M09,Knickerbocker Av,M
J31,Kosciuszko St,J
A43,Lafayette Av,C
F11,Lexington Av/53 St,E F
R11,Lexington Av/59 St,N R W
B08,Lexington Av/63 St,M Q
A52,Liberty Av,C
L26,Livonia Av,L
614,Longwood Av,6
L10,Lorimer St,L
M13,Lorimer St,M J
106,Marble Hill-225 St,1
M16,Marcy Av,M J Z
G29,Metropolitan Av,G
702,Mets-Willets Point,7
M01,Middle Village-Metropolitan Av,M
603,Middletown Rd,6
L13,Montrose Av,L
L14,Morgan Av,L
505,Morris Park,5
610,Morrison Av-Soundview,6
402,Mosholu Pkwy,4
411,Mt Eden Av,4
M11,Myrtle Av,M J Z
G32,Myrtle-Willoughby Avs,G
L17,Myrtle-Wyckoff Avs,L
M08,Myrtle-Wyckoff Avs,M
G28,Nassau Av,G
D38,Neck Rd,Q
F39,Neptune Av,F
204,Nereid Av,2 5
234,Nevins St,2 3 4 5
S22,New Dorp,SIR
257,New Lots Av,3
L27,New Lots Av,L
N04,New Utrecht Av,N
246,Newkirk Av-Little Haiti,2 5
D31,Newkirk Plaza,B Q
G16,Northern Blvd,M R
J21,Norwood Av,J Z
D01,Norwood-205 St,D
248,Nostrand Av,3
A46,Nostrand Av,A C
S21,Oakwood Heights,SIR
D41,Ocean Pkwy,Q
S26,Old Town,SIR
A65,Ozone Park-Lefferts Blvd,A
S03,Park Pl,S
228,Park Place,2 3
608,Parkchester,6
D27,Parkside Av,Q
F03,Parsons Blvd,F
601,Pelham Bay Park,6
211,Pelham Pkwy,2 5
504,Pelham Pkwy,5
255,Pennsylvania Av,3
S14,Pleasant Plains,SIR
241,President St-Medgar Evers College,2 5
R22,Prince St,R W
S15,Prince's Bay,SIR
219,Prospect Av,2 5
R34,Prospect Av,R
D26,Prospect Park,B Q S
G21,Queens Plaza,E F R
718,Queensboro Plaza,7
R09,Queensboro Plaza,N W
A49,Ralph Av,C
139,Rector St,1
R26,Rector St,R W
S13,Richmond Valley,SIR
253,Rockaway Av,3
A50,Rockaway Av,C
A61,Rockaway Blvd,A
H15,Rockaway Park-Beach 116 St,A S
B06,Roosevelt Island,M
252,Saratoga Av,3
M06,Seneca Av,M
D39,Sheepshead Bay,B Q
A54,Shepherd Av,C
217,Simpson St,2 5
F22,Smith-9 Sts,F G
142,South Ferry,1
638,Spring St,6
A33,Spring St,C E
S31,St George,SIR
609,St Lawrence Av,6
S29,Stapleton,SIR
G19,Steinway St,M R
242,Sterling St,2 5
F04,Sutphin Blvd,F
G06,Sutphin Blvd-Archer Av-JFK Airport,E J Z
L25,Sutter Av,L
251,Sutter Av-Rutland Rd,3
127,Times Sq-42 St,1 2 3
725,Times Sq-42 St,7
902,Times Sq-42 St,S
R16,Times Sq-42 St,N Q R W
S30,Tompkinsville,SIR
S09,Tottenville,SIR
D07,Tremont Av,B D
R32,Union St,R
A48,Utica Av,A C
101,Van Cortlandt Park-242 St,1
256,Van Siclen Av,3
A53,Van Siclen Av,C
J23,Van Siclen Av,J Z
721,Vernon Blvd-Jackson Av,7
A32,W 4 St-Wash Sq,A C E
D20,W 4 St-Wash Sq,B D F M
D42,W 8 St-NY Aquarium,F Q
138,WTC Cortlandt,1
201,Wakefield-241 St,2
230,Wall St,2 3
419,Wall St,4 5
214,West Farms Sq-E Tremont Av,2 5
604,Westchester Sq-E Tremont Av,6
R27,Whitehall St-South Ferry,R W
612,Whitlock Av,6
L20,Wilson Av,L
243,Winthrop St,2 5
G11,Woodhaven Blvd,M R
J15,Woodhaven Blvd,J Z
401,Woodlawn,4
E01,World Trade Center,E
F18,York St,F
606,Zerega Av,6
